Room Code,Day,Free From,Free Till
AB101,Mon,08:00,09:00
AB101,Tue,08:00,09:00
AB101,Tue,12:00,15:00
AB101,Wed,08:00,11:00
AB101,Wed,14:00,17:00
AB101,Fri,08:00,10:00
AB101,Fri,14:00,17:00
AB201,Tue,08:00,09:00
AB201,Wed,08:00,09:00
AB201,Wed,11:00,17:00
AB201,Fri,08:00,09:30
AB201,Fri,12:30,13:30
AB201,Fri,16:30,17:00
BH101 / Barony Main Hall,Tue,08:00,09:00
BH101 / Barony Main Hall,Tue,12:00,17:00
CL102,Mon,08:00,09:00
CL102,Tue,08:00,11:00
CL102,Wed,08:00,10:00
CL102,Wed,15:00,17:00
CL102,Fri,08:00,10:00
CL102,Fri,12:00,17:00
CL201,Mon,08:00,11:00
CL201,Mon,13:00,17:00
CL201,Tue,08:00,15:00
CL201,Wed,08:00,11:00
CL201,Wed,13:00,17:00
CL202,Mon,08:00,11:00
CL202,Mon,13:00,17:00
CL202,Tue,08:00,10:00
CL202,Tue,13:00,14:00
CL202,Wed,08:00,14:00
CL202,Wed,16:00,17:00
CL202,Fri,08:00,11:00
CL202,Fri,15:00,17:00
CL203,Mon,08:00,10:30
CL203,Mon,13:00,17:00
CL203,Tue,08:00,10:00
CL203,Tue,12:30,13:00
CL204,Mon,08:00,11:00
CL204,Mon,13:00,17:00
CL204,Tue,08:00,10:00
CL204,Tue,16:30,17:00
CL204,Wed,08:00,10:00
CL204,Wed,11:00,17:00
CL205,Mon,08:00,10:30
CL205,Mon,14:00,17:00
CL205,Tue,08:00,09:30
CL205,Tue,11:00,14:00
CL205,Tue,16:00,17:00
CL205,Wed,08:00,09:30
CL205,Wed,11:00,17:00
CL205,Fri,08:00,10:00
CL205,Fri,11:00,17:00
CU239,Tue,08:00,09:00
CU239,Tue,15:00,17:00
CU242,Mon,08:00,13:00
CU243,Mon,08:00,09:00
CU243,Wed,08:00,09:00
CU243,Wed,13:00,17:00
CU244,Mon,08:00,09:00
CU244,Wed,08:00,09:00
CU244,Wed,13:00,17:00
CU271,Fri,08:00,09:00
CU271,Fri,12:00,13:00
CU271,Fri,16:00,17:00
CU315a,Wed,08:00,11:00
CU315a,Wed,13:00,17:00
CU321a,Tue,08:00,11:00
CU321a,Tue,12:30,17:00
CU330a,Mon,08:00,14:00
CU330a,Mon,16:00,17:00
CU334,Mon,08:00,10:00
CU334,Mon,13:00,17:00
CU334,Tue,08:00,11:00
CU334,Wed,08:00,11:00
CU334,Wed,13:00,17:00
CU334,Fri,08:00,09:00
CU334,Fri,12:00,13:00
CU522,Tue,08:00,10:00
CU522,Tue,15:00,17:00
CU627c,Wed,08:00,10:00
CU627c,Wed,12:00,13:00
CU627c,Wed,14:00,17:00
CW404a,Mon,08:00,14:00
CW404a,Mon,16:00,17:00
CW404a,Tue,08:00,09:00
CW404a,Tue,12:00,13:00
CW404a,Wed,08:00,10:00
CW404a,Wed,12:00,14:00
CW404a,Wed,15:00,16:00
CW404a,Fri,08:00,14:00
CW404a,Fri,15:00,17:00
CW404b,Mon,08:00,10:00
CW404b,Mon,16:00,17:00
CW404b,Tue,08:00,09:00
CW404b,Tue,12:00,13:00
CW404b,Wed,08:00,10:00
CW404b,Wed,12:00,13:00
CW404b,Wed,16:00,17:00
CW404b,Fri,08:00,14:00
CW406a,Mon,08:00,15:00
CW406a,Tue,08:00,10:00
CW406a,Tue,12:00,13:00
CW406a,Wed,08:00,10:00
CW406a,Wed,12:00,13:00
CW406a,Wed,15:00,15:30
CW406a,Fri,08:00,10:00
CW406a,Fri,12:00,17:00
CW406b,Mon,08:00,14:00
CW406b,Mon,15:00,17:00
CW406b,Tue,08:00,10:00
CW406b,Tue,13:00,13:30
CW406b,Wed,08:00,09:00
CW406b,Wed,15:30,17:00
CW408,Mon,08:00,09:00
CW408,Tue,08:00,09:30
CW408,Tue,13:30,14:00
CW408,Wed,08:00,11:00
CW408,Wed,16:00,17:00
CW408,Fri,08:00,09:00
CW408,Fri,11:00,13:00
CW506a,Mon,08:00,13:00
CW506a,Mon,14:00,17:00
CW506a,Tue,08:00,13:00
CW506a,Tue,16:00,17:00
CW506b,Mon,08:00,08:30
CW506b,Mon,11:00,13:00
CW506b,Mon,14:00,17:00
CW506b,Tue,08:00,13:00
CW506b,Tue,16:00,17:00
CW506b,Fri,08:00,13:00
CW506b,Fri,15:00,17:00
CW507a,Mon,08:00,10:00
CW507a,Mon,12:00,17:00
CW507a,Tue,08:00,09:00
CW507a,Tue,13:00,14:00
CW507a,Tue,16:00,17:00
CW507a,Wed,08:00,10:00
CW507b,Mon,08:00,08:30
CW507b,Mon,10:00,12:00
CW507b,Mon,15:00,17:00
CW507b,Tue,08:00,10:00
CW507b,Wed,08:00,09:00
CW507b,Wed,12:00,13:00
CW507b,Wed,16:00,17:00
CW602,Mon,08:00,11:00
CW602,Mon,12:00,13:00
CW602,Mon,16:30,17:00
CW602,Tue,08:00,09:00
CW602,Wed,08:00,11:00
CW602,Fri,08:00,09:00
CW602,Fri,16:00,17:00
DW307,Wed,08:00,09:00
DW307,Wed,13:00,17:00
EXT / Gorbals (Tennis),Tue,08:00,10:00
GH222b,Tue,08:00,10:00
GH222b,Tue,12:00,17:00
